iter	Passed	Remaining
0	13	13225
1	25	12859
2	38	12730
3	50	12463
4	62	12384
5	74	12273
6	86	12256
7	98	12224
8	110	12193
9	122	12169
10	143	12875
11	155	12807
12	167	12725
13	179	12673
14	192	12625
15	204	12586
16	217	12551
17	229	12538
18	243	12561
19	255	12530
20	268	12521
21	281	12505
22	294	12506
23	307	12493
24	320	12481
25	331	12432
26	343	12382
27	356	12383
28	370	12421
29	384	12445
30	398	12455
31	417	12623
32	430	12614
33	444	12632
34	457	12603
35	469	12578
36	481	12535
37	493	12493
38	506	12481
39	519	12465
40	532	12445
41	544	12410
42	556	12382
43	568	12355
44	580	12310
45	592	12287
46	604	12254
47	616	12222
48	627	12185
49	640	12168
50	653	12151
51	665	12131
52	678	12129
53	690	12104
54	703	12082
55	715	12061
56	726	12025
57	739	12008
58	752	11997
59	765	11986
60	777	11971
61	789	11947
62	801	11927
63	813	11898
64	825	11874
65	838	11860
66	850	11843
67	862	11823
68	875	11808
69	887	11789
70	899	11771
71	911	11748
72	923	11724
73	935	11710
74	948	11702
75	961	11686
76	973	11663
77	985	11648
78	998	11642
79	1011	11631
80	1023	11611
81	1036	11598
82	1048	11588
83	1061	11574
84	1073	11555
85	1086	11551
86	1099	11543
87	1112	11530
88	1125	11516
89	1137	11500
90	1149	11483
91	1162	11470
92	1173	11446
93	1186	11435
94	1198	11419
95	1210	11398
96	1224	11395
97	1237	11388
98	1249	11371
99	1261	11353
100	1273	11335
101	1286	11322
102	1298	11305
103	1310	11287
104	1322	11268
105	1334	11253
106	1346	11239
107	1359	11224
108	1370	11202
109	1383	11190
110	1395	11176
111	1407	11158
112	1419	11142
113	1432	11133
114	1444	11117
115	1457	11104
116	1468	11083
117	1481	11071
118	1494	11060
119	1507	11052
120	1519	11040
121	1533	11035
122	1546	11023
123	1557	11005
124	1570	10990
125	1581	10972
126	1593	10956
127	1606	10942
128	1618	10925
129	1630	10909
130	1642	10896
131	1655	10885
132	1667	10871
133	1679	10855
134	1692	10842
135	1704	10825
136	1715	10806
137	1727	10790
138	1739	10777
139	1751	10760
140	1763	10745
141	1776	10731
142	1788	10718
143	1800	10704
144	1812	10690
145	1824	10672
146	1836	10654
147	1848	10639
148	1860	10625
149	1872	10611
150	1884	10595
151	1895	10576
152	1907	10561
153	1919	10544
154	1931	10527
155	1943	10512
156	1955	10497
157	1966	10480
158	1978	10463
159	1990	10448
160	2003	10443
161	2017	10437
162	2030	10426
163	2043	10414
164	2055	10403
165	2067	10388
166	2079	10370
167	2091	10357
168	2103	10341
169	2115	10326
170	2127	10311
171	2138	10295
172	2150	10280
173	2162	10265
174	2174	10249
175	2185	10234
176	2197	10218
177	2209	10204
178	2222	10195
179	2235	10183
180	2247	10168
181	2260	10157
182	2272	10147
183	2285	10134
184	2297	10120
185	2308	10104
186	2321	10093
187	2333	10079
188	2345	10065
189	2358	10054
190	2371	10043
191	2383	10030
192	2396	10019
193	2408	10007
194	2421	9995
195	2433	9983
196	2445	9968
197	2457	9954
198	2470	9944
199	2484	9937
200	2497	9929
201	2510	9919
202	2524	9909
203	2537	9899
204	2549	9888
205	2561	9873
206	2574	9863
207	2587	9853
208	2600	9843
209	2613	9830
210	2625	9816
211	2637	9803
212	2649	9790
213	2661	9776
214	2676	9771
215	2689	9762
216	2703	9753
217	2716	9745
218	2731	9740
219	2743	9725
220	2754	9710
221	2767	9699
222	2780	9688
223	2792	9675
224	2805	9663
225	2817	9649
226	2829	9635
227	2840	9618
228	2853	9605
229	2865	9593
230	2878	9581
231	2890	9567
232	2903	9557
233	2916	9547
234	2929	9534
235	2941	9522
236	2953	9508
237	2966	9497
238	2979	9486
239	2990	9469
240	3002	9455
241	3013	9440
242	3026	9427
243	3037	9411
244	3049	9398
245	3061	9384
246	3073	9370
247	3085	9357
248	3098	9346
249	3111	9334
250	3123	9321
251	3136	9309
252	3149	9298
253	3161	9286
254	3174	9273
255	3186	9261
256	3199	9251
257	3213	9241
258	3226	9231
259	3237	9214
260	3250	9202
261	3262	9189
262	3275	9177
263	3287	9164
264	3299	9150
265	3311	9138
266	3323	9125
267	3335	9109
268	3348	9099
269	3361	9088
270	3373	9075
271	3384	9059
272	3397	9048
273	3411	9038
274	3423	9026
275	3435	9012
276	3448	9001
277	3460	8987
278	3472	8974
279	3485	8963
280	3498	8951
281	3511	8941
282	3524	8930
283	3536	8915
